Company,YearFounded,Country,Category
"Sentillion, Inc.",1998,United States,Healthcare Software 
The Marsden Group,2003,United States,Industrial Manufacturing 
id8 Group R2 Studios,2010,United States,Internet of Things
Solair,2012,Italy,Internet of Things
Express Logic,1996,United States,Internet of Things
CyberX,2013,United States,Internet of Things
Orions Systems,2003,United States,Internet of Things
ReFirm Labs,2017,United States,Internet of Things
Onfolio,2004,United States,Web Software
Medstory,2001,United States,Web Software
Vermeer Technologies,1994,United States,Web Software
NetCarta,1995,United States,Web Software
Interse,1996,United States,Web Software
WebTV Networks,1995,United States,Web Software
LinkAge Software,1995,Canada,Web Software
VXtreme,1995,United States,Web Software
Hotmail,1995,United States,Web Software
Flash Communications,1996,United States,Web Software
Valence Research,1996,United States,Web Software
Interactive Objects-Digital,1996,United States,Web Software
Jump Networks,1996,United States,Web Software
Omnibrowse,1996,United States,Web Software
NCompass Labs,1996,Canada,Web Software
DCG,1996,Australia,Web Software
FrontBridge Technologies,1999,United States,Web Software
media-streams.com,2001,Switzerland,Web Software
Seadragon Software,2003,United States,Web Software
DeepMetrix,1992,United States,IT 
DATAllegro,2003,United States,IT 
Capptain,2008,France,IT 
"Datazen Software, Inc.",2002,Canada,IT 
Metanautix,2012,United States,IT 
Prodiance,2005,United States,IT 
Secure Islands Technologies Ltd.,2006,Israel,IT 
Avere Systems,2008,United States,IT 
Citus Data,2011,United States,IT 
Fungible,2015,United States,IT 
Stratature,2001,United States,IT 
ActiveViews,2001,United States,IT 
Teleo,2003,United States,IT 
devBiz Business Solutions,2001,United States,IT 
Engyro,2000,United States,IT 
HOB Business Solutions,1998,Denmark,IT 
Fast Search & Transfer,1997,Norway,IT 
BlueStripe Software,2007,United States,IT 
Numinous Technologies,1996,United States,IT 
Vexcel,1985,United States,IT 
ADRM Software,1986,United States,IT 
Maluuba,2011,Canada,Machine Learning and AI
Bonsai,2014,United States,Machine Learning and AI
Lobe,2015,United States,Machine Learning and AI
XOXCO,2009,United States,Machine Learning and AI
Drawbridge,2010,United States,Machine Learning and AI
Vicinity,1995,United States,Mapping Software
NextBase,1989,United Kingdom,Mapping Software
Multimap.com,1996,United Kingdom,Mapping Software
aQuantive,1997,United States,Marketing and Advertising 
LinkExchange,1996,United States,Marketing and Advertising 
ScreenTonic,2001,France,Marketing and Advertising 
AdECN,2004,United States,Marketing and Advertising 
Rapt,1998,United States,Marketing and Advertising 
MarketingPilot,2001,United States,Marketing and Advertising 
Xandr,2018,United States,Marketing and Advertising 
Oribi,2016,Israel,Marketing and Advertising 
Navic Networks,2000,United States,Marketing and Advertising 
YaData,2006,Israel,Marketing and Advertising 
Musiwave,2000,France,Music Service 
Groove,1997,Canada,Music Service 
Wand Labs,2013,United States,Natural Language Processing
Nuance Communications,1992,United States,Natural Language Processing
Colloquis,2000,United States,Natural Language Processing 
Powerset,2005,United States,Natural Language Processing 
Semantic Machines,2014,United States,Natural Language Processing 
Entropic,1995,United States,Natural Language Processing 
AltspaceVR,2013,United States,Social Network
MessageCast,2001,United States,Social Network
Spectrum,2015,United States,Social Network
Videosurf,2006,United States,Social Network 
Yammer,2008,United States,Social Network 
LinkedIn,2002,United States,Social Network 
SWNG,2015,United States,Other Software
Whale Communications,1998,Israel,Other Software
Gteko,1999,Israel,Other Software
DesktopStandard,2001,United States,Other Software
Groove Networks,1997,United States,Other Software
"Sunrise Atelier, Inc.",2012,United States,Other Software
6 Wunderkinder GmbH,2010,Germany,Other Software
Clipchamp,2013,Australia,Other Software
VGA-Animation Software Div,1986,Germany,Other Software
Apiphany,2010,United States,Other Software
Dynamical Systems Research,1979,United States,Other Software
Softway Systems,1996,United States,Other Software
G.A. Sullivan,1982,United States,Other Software
GeCAD Software,1991,Romania,Other Software
Lookout Software,1996,United States,Other Software
en'tegrate,1996,United States,Other Software
Alacris,1999,United States,Other Software
iView Multimedia,1996,United Kingdom,Other Software
Interactive Supercomputing,2004,United States,Other Software
HLW Software,2006,Austria,Other Software
Consumers Software,1981,Canada,Other Software
Bruce ArtwickOrganization,1977,United States,Other Software
AssetMetrix,2000,Canada,Other Software
Microsoft Corp, 1975, United States, Parent
UMT-Software and IP Assets,1999,United States,Other Software
Altamira Software,1991,United States,Other Software
The Blue Ribbon SoundWorks,1993,United States,Other Software
Netwise,1991,United States,Other Software
XDegrees,2000,United States,Other Software
Encore Bus Solutions-IP Asts,1996,United States,Other Software
Apptimum,1998,United States,Other Software
InMage,2001,India,Other Software
Peer5,2012,United States,Other Software
Sendit,1996,Sweden,Software for Mobile
STNC,1994,United Kingdom,Software for Mobile
Mobilocity,1999,United States,Software for Mobile
Tellme Networks,1999,United States,Software for Mobile
Acompli,2013,United States,Software for Mobile
"Double Labs, Inc.",2013,United States,Software for Mobile
"Talko, Inc.",2012,United States,Software for Mobile
PhoneFactor,2001,United States,Software for Mobile 
5th Finger,2000,Australia,Software for Mobile 
MotionBridge,2000,France,Software for Mobile 
Mobicomp,2001,Portugal,Software for Mobile 
HockeyApp,2009,Germany,Software for Mobile 
"Mobile Data Labs, Inc.",2011,United States,Software for Mobile 
SwiftKey,2008,United Kingdom,Software for Mobile 
Tsinghua-Shenxun-Cert Asts,1996,China,Software for Mobile  
Danger,1999,United States,Software for Mobile  
Peach Networks,1998,Israel,Television Services
Titus Communications,1996,United States,Television Services 
Farecast,2003,United States,Travel Website  
Travelscape,1996,United States,Travel Website  
Vacationspot,1996,United States,Travel Website  
Classic Custom Vacations,1996,United States,Travel Website  
Exos,1983,United States,Video Games
Electric Gravity,1995,United States,Video Games
Virtual World Entertainment Group,1990,United States,Video Games
Access Software,1982,United States,Video Games
ShadowFactor Software,1996,United States,Video Games
Bungie,1991,United States,Video Games
NetGames,1996,United States,Video Games
Digital Anvil,1996,United States,Video Games
Ensemble Studios,1995,United States,Video Games
Rare,1985,United Kingdom,Video Games
3DO Co-High Heat Baseball,1991,United States,Video Games
Lionhead Studios,1997,United Kingdom,Video Games
Massive Incorporated,2004,United States,Video Games
BigPark,2007,Canada,Video Games
Twisted Pixel Games,2006,United States,Video Games
Press Play,2010,Denmark,Video Games
Pando Networks,2004,United States,Video Games
Mojang Studios,2009,Sweden,Video Games
Havok,1998,Ireland,Video Games
Playfab,2014,United States,Video Games
Ninja Theory,2000,United Kingdom,Video Games
Undead Labs,2009,United States,Video Games
Compulsion Games,2009,Canada,Video Games
Playground Games,2010,United Kingdom,Video Games
inXile Entertainment,2002,United States,Video Games
Obsidian Entertainment,2003,United States,Video Games
Double Fine Productions,2000,United States,Video Games
ZeniMax Media,1999,United States,Video Games
Smash.gg,2015,United States,Video Games
Activision Blizzard,2008,United States,Video Games
Nemesys Games,2010,Hungary,Video Games
Beam,2014,United States,Video Games 
Softricity,1999,United States,Virtualization Software
Calista Technologies,2006,United States,Virtualization Software
Kidaro,2005,United States,Virtualization Software
FSLogix,2013,United States,Virtualization Software
Network Managers,1986,United Kingdom,Virtualization Software
Skype Technologies,2003,Luxembourg,Web Conferencing
PlaceWare,1996,United States,Web Conferencing 
Winternals Software,1996,United States,Website 
Firefly,1995,United States,Website 
CompareNet,1995,United States,Website 
MongoMusic,1999,United States,Website 
Yupi,1999,United States,Website 
Jellyfish.com,2004,United States,Website 
