source,target,Year,Date,Cost
Microsoft Corp,Adallom,2015,"July 19, 2015","320,000,000"
Microsoft Corp,"Incent Games, LLC",2015,"August 3, 2015",—
Microsoft Corp,"VoloMetrix, Inc.",2015,"September 3, 2015",—
Microsoft Corp,"Double Labs, Inc.",2015,"September 11, 2015",—
Microsoft Corp,Adxstudio Inc.,2015,"September 28, 2015",—
Microsoft Corp,Havok,2015,"October 2, 2015",—
Microsoft Corp,"Mobile Data Labs, Inc.",2015,"November 5, 2015",—
Microsoft Corp,Secure Islands Technologies Ltd.,2015,"November 9, 2015",—
Microsoft Corp,Metanautix,2015,"December 18, 2015",—
Microsoft Corp,"Talko, Inc.",2015,"December 21, 2015",—
Microsoft Corp,Event Zero,2016,"January 13, 2016",—
Microsoft Corp,Teacher Gaming LLC,2016,"January 19, 2016",—
Microsoft Corp,SwiftKey,2016,"February 3, 2016","250,000,000"
Microsoft Corp,Groove,2016,"February 9, 2016",—
Microsoft Corp,Xamarin,2016,"February 24, 2016",—
Microsoft Corp,Solair,2016,"May 3, 2016",—
Microsoft Corp,Wand Labs,2016,"June 16, 2016",—
Microsoft Corp,Beam,2016,"August 8, 2016",—
Microsoft Corp,Genee,2016,"August 20, 2016",—
Microsoft Corp,LinkedIn,2016,"December 8, 2016","26,200,000,000"
Microsoft Corp,Maluuba,2017,"January 13, 2017","140,000,000"
Microsoft Corp,Simplygon,2017,"January 17, 2017",—
Microsoft Corp,Deis,2017,"April 10, 2017",—
Microsoft Corp,Intentional Software,2017,"April 18, 2017",—
Microsoft Corp,Hexadite,2017,"June 8, 2017","100,000,000"
Microsoft Corp,Cloudyn,2017,"June 28, 2017","50,000,000"
Microsoft Corp,Cycle Computing,2017,"August 15, 2017",—
Microsoft Corp,AltspaceVR,2017,"October 3, 2017",—
Microsoft Corp,SWNG,2017,"November 7, 2017",—
Microsoft Corp,Avere Systems,2018,"January 3, 2018",—
Microsoft Corp,Playfab,2018,"January 29, 2018",—
Microsoft Corp,Semantic Machines,2018,"May 18, 2018","400,000,000"
Microsoft Corp,Ninja Theory,2018,"June 11, 2018","117,000,000"
Microsoft Corp,Undead Labs,2018,"June 11, 2018",—
Microsoft Corp,Compulsion Games,2018,"June 11, 2018",—
Microsoft Corp,Playground Games,2018,"June 11, 2018",—
Microsoft Corp,Flipgrid,2018,"June 18, 2018",—
Microsoft Corp,Bonsai,2018,"June 20, 2018",—
Microsoft Corp,Lobe,2018,"September 13, 2018",—
Microsoft Corp,Glint,2018,"October 9, 2018","400,000,000"
Microsoft Corp,GitHub,2018,"October 26, 2018","7,500,000,000"
Microsoft Corp,inXile Entertainment,2018,"November 10, 2018",—
Microsoft Corp,Obsidian Entertainment,2018,"November 10, 2018",—
Microsoft Corp,XOXCO,2018,"November 14, 2018",—
Microsoft Corp,FSLogix,2018,"November 19, 2018",—
Microsoft Corp,Spectrum,2018,"November 30, 2018",—
Microsoft Corp,Citus Data,2019,"January 24, 2019",—
Microsoft Corp,DataSense,2019,"February 4, 2019",—
Microsoft Corp,Express Logic,2019,"April 18, 2019",—
Microsoft Corp,Dependabot,2019,"May 23, 2019",—
Microsoft Corp,Drawbridge,2019,"May 28, 2019",—
Microsoft Corp,Double Fine Productions,2019,"June 9, 2019",—
Microsoft Corp,Pull Panda,2019,"June 17, 2019",—
Microsoft Corp,BlueTalon,2019,"July 29, 2019",—
Microsoft Corp,PromoteIQ,2019,"August 5, 2019",—
Microsoft Corp,jClarity,2019,"August 19, 2019",—
Microsoft Corp,Movere,2019,"September 5, 2019",—
Microsoft Corp,Semmle,2019,"September 18, 2019",—
Microsoft Corp,Mover,2019,"October 21, 2019",—
Microsoft Corp,npm,2020,"March 16, 2020",—
Microsoft Corp,Affirmed Networks,2020,"March 26, 2020","1,350,000,000"
Microsoft Corp,Metaswitch Networks,2020,"May 14, 2020",—
Microsoft Corp,Softomotive,2020,"May 19, 2020",—
Microsoft Corp,ADRM Software,2020,"June 18, 2020",—
Microsoft Corp,CyberX,2020,"June 22, 2020","165,000,000"
Microsoft Corp,Orions Systems,2020,"July 7, 2020",—
Microsoft Corp,ZeniMax Media,2020,"September 21, 2020","8,100,000,000"
Microsoft Corp,Smash.gg,2020,"December 2, 2020",—
Microsoft Corp,The Marsden Group,2021,"March 16, 2021",—
Microsoft Corp,Nuance Communications,2021,"April 12, 2021","19,700,000,000"
Microsoft Corp,Kinvolk,2021,"April 29, 2021",—
Microsoft Corp,ReFirm Labs,2021,"June 2, 2021",—
Microsoft Corp,AT&T Technology Network Cloud,2021,"June 30, 2021",—
Microsoft Corp,RiskIQ,2021,"July 12, 2021","500,000,000"
Microsoft Corp,CloudKnox,2021,"July 22, 2021",—
Microsoft Corp,Suplari,2021,"July 28, 2021",—
Microsoft Corp,Peer5,2021,"August 10, 2021",—
Microsoft Corp,Clipchamp,2021,"September 7, 2021",—
Microsoft Corp,TakeLessons,2021,"September 8, 2021",—
Microsoft Corp,Ally.io,2021,"October 7, 2021",—
Microsoft Corp,Clear Software,2021,"October 22, 2021",—
Microsoft Corp,Two Hat,2021,"October 29, 2021",—
Microsoft Corp,Xandr,2021,"December 21, 2021","1,000,000,000"
Microsoft Corp,Activision Blizzard,2022,"January 18, 2022","75,400,000,000"
Microsoft Corp,Oribi,2022,"February 28, 2022",—
Microsoft Corp,Minit,2022,"March 31, 2022",—
Microsoft Corp,Miburo,2022,"June 15, 2022",—
Microsoft Corp,Lumenisity,2022,"December 9, 2022",—
Microsoft Corp,Fungible,2023,"January 9, 2023",—
Microsoft Corp,Nemesys Games,2023,"April 5, 2023",—
